,Credit_HF,Interest_HF,Exchange_HF,Growth_HF,Inflation_HF,Liquidity_HF
000016_SH,0.0,1.0953335398146495,0.06543647018070235,1.2259565908245462,0.04523995553452137,-0.07769429202978326
000300_SH,0.0,0.5288083604941378,0.06767405923904138,1.2168154487245684,0.026731375610549894,-0.029075145061608514
000905_SH,0.0,-0.14717127040740963,0.05640429913365225,1.2005898507895774,-0.06192554485719776,-0.030326442069739147
000852_SH,0.0,-0.3858748100500111,0.048356298599750706,1.1503490316822793,-0.07392377773806214,-0.0221738171612003
HSI_HI,0.0,0.037483837325010344,-0.06793695592441078,1.6038902547949614,-0.019027213820499295,-0.0030511685882371915
CBA00601_CS,-0.004606927214328801,-0.9968493427329941,0.0002870403176340936,7.832750190942577e-05,9.760042447290295e-05,0.00015853156603394154
CBA02001_CS,-0.14840968072079633,-0.6049314107930965,0.0012783511889852357,0.002265205938196562,-0.0014838639778906413,-0.00014969494037943642
000832_CSI,0.0,-0.6616950024723075,-0.0022203482266229604,0.5575093705552714,0.013677718039656749,-0.029077990475536403
NH0200_NHF,0.0,0.3934516118882012,-0.12056022114634624,0.7015036480117125,-0.06562292592054758,-0.03311963763072988
NH0300_NHF,0.0,0.1237137606900853,-0.012306457620768492,0.2247151470143588,-0.014998277143411658,-0.031095258187660176
B_IPE,0.0,1.3480299919064327,-0.05842743983740406,1.0630175100128667,0.022355262486800684,-0.062211214815595495
AU9999_SGE,0.0,-0.56339209436259,-0.4795669455267603,-0.02569052373327774,0.0016230245533823268,-0.032554162508111176
SPX_GI,0.0,0.11445091270181229,0.18750800396055223,0.7716599683313546,-0.0009570996114974598,-0.014686037869120545
USDCH_FX,0.0,-0.03714998390841459,0.17349509798528845,-0.07413292282962347,0.0061621825790450745,-0.005307282608693573
