,S0031510,S0105912,M0049225,HSI
2006-06-25,399.56,3434.2667,1018.6,15808.81
2006-07-02,401.21,3632.5216,1054.47,16267.62
2006-07-09,401.92,4048.3875,1077.43,16459.78
2006-07-16,408.75,4149.8611,1128.8,16135.71
2006-07-23,401.71,3728.7162,1156.17,16464.18
2006-07-30,404.04,3837.9559,1141.91,16955.04
2006-08-06,404.81,3975.2762,1077.22,16887.8
2006-08-13,405.77,4082.2107,1115.46,17249.95
2006-08-20,403.23,3905.1552,1149.06,17330.7
2006-08-27,403.71,3953.6556,1167.6,16955.45
2006-09-03,402.99,4074.0299,1245.84,17423.72
2006-09-10,407.36,4317.8005,1245.1,17145.76
2006-09-17,401.01,4018.7092,1280.99,17237.65
2006-09-24,403.7,4132.2586,1334.41,17600.65
2006-10-01,410.13,4141.6234,1331.78,17543.05
2006-10-08,411.38,4141.6234,1331.78,
2006-10-15,416.24,4112.9787,1268.1,17988.86
2006-10-22,419.2,4212.548,1306.29,18113.55
2006-10-29,427.82,4130.6537,1318.27,18297.55
2006-11-05,429.69,3984.132,1329.37,18749.69
2006-11-12,439.02,3994.9445,1367.59,18891.14
2006-11-19,436.81,3689.3268,1486.03,19182.71
2006-11-26,440.81,3920.3169,1561.49,19260.3
2006-12-03,445.16,3880.634,1705.29,18690.82
2006-12-10,444.18,3818.0936,1628.64,18739.99
2006-12-17,446.98,3769.7104,1811.8,19110.65
2006-12-24,445.34,3535.5595,1881.27,19320.52
2006-12-31,449.32,3615.0035,1942.13,19964.72
2007-01-07,438.87,3302.0462,1940.8,20211.28
2007-01-14,440.13,3260.4598,2062.86,19613.41
2007-01-21,439.7,3098.1008,2099.29,20327.72
2007-01-28,443.99,3266.4955,2240.2,20281.13
2007-02-04,436.32,3208.1891,1910.99,20563.68
2007-02-11,437.88,3155.4396,2011.07,20677.66
2007-02-18,444.46,3412.8635,2250.12,20567.91
2007-02-25,450.45,3412.8635,2250.12,
2007-03-04,447.57,3523.3267,2190.23,19442.01
2007-03-11,457.47,3522.4962,2372.46,19134.88
2007-03-18,459.0,3751.8366,2438.03,18953.5
2007-03-25,461.19,3820.6952,2539.76,19692.64
2007-04-01,462.99,3875.2279,2575.64,19800.93
2007-04-08,468.76,4150.2757,2775.95,20209.71
2007-04-15,477.03,4354.7198,2906.29,20340.97
2007-04-22,479.39,4440.3717,3032.95,20566.59
2007-04-29,475.94,4161.172,3163.8,20526.5
2007-05-06,486.71,4327.5945,3223.51,20841.08
2007-05-13,487.9,4231.8863,3551.66,20468.21
2007-05-20,484.03,3720.4267,3883.35,20904.84
2007-05-27,485.97,3759.4791,4319.27,20520.66
2007-06-03,488.67,4023.537,4131.63,20602.87
2007-06-10,491.93,3913.4115,4120.2,20509.15
2007-06-17,495.55,3841.0085,4360.06,21017.05
2007-06-24,493.42,3890.116,4431.65,21999.91
2007-07-01,495.4,3878.7877,4091.27,21772.73
2007-07-08,499.22,3960.6059,4035.82,22531.74
2007-07-15,501.97,3909.0908,4290.08,23099.29
2007-07-22,507.37,4129.0907,4880.0,23291.9
2007-07-29,502.51,4068.2824,5329.24,22570.41
2007-08-05,501.51,4092.7732,6040.29,22538.44
2007-08-12,498.31,3878.9492,5919.26,21792.71
2007-08-19,484.99,3710.2992,5657.51,20387.13
2007-08-26,490.22,3894.6095,6372.36,22921.89
2007-09-02,494.58,3957.4833,6391.01,23984.14
2007-09-09,489.92,3914.0607,6161.0,23982.61
2007-09-16,496.6,3968.3389,6161.92,24898.11
2007-09-23,505.83,4041.916,5980.93,25843.78
2007-09-30,510.06,4094.2099,6015.27,27142.47
2007-10-07,509.77,4094.2099,6015.27,
2007-10-14,510.12,4023.8275,6084.63,28838.37
